Title: Emilia Galotti
Number of all lemmas: 6863
Nummber of different lemmas: 2154

Lemma	POS	Frequency	Tokens
schrecklich	ADJD, ADJA	3	schrecklich, schreckliche
Altar	NN	3	Altar, Altare
lächerlich	ADJA, ADJD	3	lächerlichsten, lächerlich
bezeigen	VVINF, VVFIN	3	bezeigen, bezeigte
verachten	VVFIN, VVPP, VVINF	3	verachtet, verachten
Tanz	NN	3	Tanz
vorenthalten	VVIZU, VVPP, VVINF	3	vorzuenthalten, vorenthalten
Vorwurf	NN	3	Vorwürfen, Vorwurf, Vorwürfe
verderben	VVFIN, VVINF	3	verderbt, verderben, verdarb
meiste	PIS	3	meisten
Fall	NN	3	Fall
halb	ADJD, ADJA	3	halb, halbes
schuldig	ADJD	3	schuldig
wirken	VVFIN	3	wirket, Wirkt, wirkt
Laster	NN	3	Laster, Lasters
verbitten	VVINF	3	verbitten
Schrecken	NN	3	Schreckens, Schrecken
verdienet	VVFIN	3	verdienet
morden	VVINF	3	morden
ohnedem	ADJD	3	ohnedem
väterlich	ADJA	3	väterlichen, väterliche
unsre	PPOSAT	3	unsern
schreien	VVINF	3	schreien
mitnehmen	VVPP, VVINF	3	mitgenommen, mitnehmen
Andacht	NN	3	Andacht
versichern	VVPP, VVFIN	3	versichert, versichern
aufsuchen	VVPP, VVINF, VVFIN	3	aufgesucht, aufsuchen, aufsuchte
Tiergarten	NN	3	Tiergartens, Tiergarten
teilen	VVFIN, VVINF	3	teilen
Gefängnis	NN	3	Gefängnis
euer	PPOSAT	3	eure, Eurer, Euer
erinnern	VVFIN	3	erinnern, erinnere
pfui	ITJ	3	Pfui, pfui
Entzückung	NN	3	Entzückung
Eltern	NN	3	Eltern
Heilige	NN	3	Heiliger, Heiligen, Heilige
laut	ADJA, ADJD, APPR	3	laute, lauter, laut
Porträt	NN	3	Porträt
heben	VVFIN, VVIMP	3	hob, heb
Rota	NE, NN	3	Rota
äußer	ADJA	3	äußersten
Porträte	NN	3	Porträte
gleichsam	ADJD	3	gleichsam
Alter	NN	3	Alter
Anblick	NN	3	Anblicks, Anblicke, Anblick
eräugnen	VVFIN, VVINF	3	eräugnen
malen	VVINF, VVFIN	3	malen
bedeuten	VVFIN	3	bedeuten
Räuber|Räubern	NN	3	Räubern
unruhig	ADJD	3	unruhig
irren	VVFIN	3	irren
bekommen	VVINF, VVFIN	3	bekommen, bekam
Affe	NN	3	Affe, Affen
geruhen	VVINF, VVFIN	3	geruhen
Achtung	NN	3	Achtung
Oberste	NN	3	Oberster
küssen	VVINF	3	küssen
treiben	VVINF	3	treiben
begünstigter	ADJA	3	begünstigter
Dank	NN	3	Dank, Dankes
Glückseligkeit	NN	3	Glückseligkeiten, Glückseligkeit
zwingen	VVPP, VVFIN, VVINF	3	gezwungen, zwingt, zwingen
verwandeln	VVPP, VVFIN	3	verwandelt, verwandle
Gegenwart	NN	3	Gegenwart
Haarnadel	NN	3	Haarnadel
Besuch	NN	3	Besuche, Besuch, Besuchs
Maske	NN	3	Maske
fühlen	VVFIN	3	fühlte, fühle
Wortwechsel	NN	3	Wortwechsel
gelingen	VVFIN, VVPP	3	gelingt, gelungen
vollziehen	VVPP, VVFIN	3	vollzogen, vollziehe, vollzöge
Streich	NN	3	Streiche, Streich
erschrecken	VVFIN	3	erschrecke, erschrecken
sitzen	VVINF, VVPP	3	sitzen, gesessen
willen	APPO	3	willen
mächtig	ADJD	3	mächtig
fallen|gefallen	VVPP	3	gefallen
aufopfern	VVPP, VVIZU	3	aufgeopfert, aufzuopfern
holen	VVFIN, VVINF	3	hole, holen
belohnen	VVINF, VVPP, VVFIN	3	belohnen, belohnt
Bestürzung	NN	3	Bestürzung
Ruhe	NN	3	Ruhe
Triumph	NN	3	Triumphe, Triumph
Durchlaucht	NN	3	Durchlaucht
Finger	NN	3	Finger
Angelegenheit	NN	3	Angelegenheit, Angelegenheiten
Nicolo	NE	3	Nicolo
möcht	VVFIN	3	möcht
Schuss	NN	3	Schuß
hämisch	ADJD	3	hämisch, Hämisch
zeigend	ADJD	3	zeigend
heilig	ADJA	3	heiligen, heiliger, heilige
Pause	NN	3	Pause
Lustschlosse	NN	3	Lustschlosse
Verwünschung	NN	3	Verwünschung
hässlich	ADJD	3	häßlicher, häßlich
fürs	APPRART	3	fürs
lebendig	ADJD	3	lebendiger, lebendig
überraschen	VVFIN, VVPP	3	überraschen, überrascht
Religion	NN	3	Religion
rechnen	VVFIN	3	rechnen, Rechnen
Zeremonie	NN	3	Zeremonie
Schloss	NN	3	Schloß, Schlosse
Schmeichelei	NN	3	Schmeichelei, Schmeicheleien
gefallen	VVFIN, VVINF	3	gefiel, gefallen, Gefällt
Entschluss	NN	3	Entschluß, Entschlusses
fremd	ADJD, ADJA	3	fremd, fremdes, fremden
verhindern	VVPP, VVINF	3	verhindert, verhindern
Kränkung	NN	3	Kränkungen
längst	ADV	3	längst
weg	ADV, PTKVZ	3	weg
Gelegenheit	NN	3	Gelegenheit
Ohr	NN	3	Ohre, Ohren
Sünde	NN	3	Sünden, Sünde
hm	NE	3	Hm, hm
Blick	NN	3	Blicke
zweifeln	VVFIN	3	zweifle, zweifeln, zweifelte
jung	ADJA	3	junger, junge, jungen
hatt	VVFIN	2	hatt
vorschreiben	VVFIN, VVIZU	2	vorschreiben, vorzuschreiben
steigen	VVFIN	2	steigen, steigt
nieder	PTKVZ, ADJD	2	nieder
vorauf	NN	2	vorauf
Sprache	NN	2	Sprache
anfallen	VVPP, VVFIN	2	angefallen, anfielen
Grenze	NN	2	Grenzen, Grenze
Farbe	NN	2	Farben, Farbe
jemals	ADV	2	jemals
träumen	VVFIN, VVINF	2	träume, träumen
pflegen	VVFIN	2	pflegt, pflege
