Title: Der junge Gelehrte
Number of all lemmas: 10506
Nummber of different lemmas: 3557

Lemma	POS	Frequency	Tokens
Lob	NN, NNS	6	Lob, Lobe
ziehen	VB, VBN	6	ziehen, ziehe, gezogen
Stern	NN	6	Stern
Potz	NN	6	Potz
Nachricht	NN, NNS	6	Nachricht, Nachrichten
Haus	NN	6	Haus
Abhandlung	FW, NN	6	Abhandlung
Lust	NN	6	Lust
hintergehen	NN, VB	5	hintergehen, hintergeht
Himmels	NN	5	Himmels
Stunde	NN	5	Stunde
bösen	NN	5	bösen
klingen	VB	5	klingen, klingt
Seite	NN	5	Seite
Dutzend	JJ, NN	5	Dutzend
albern	JJ	5	albern
vielmehr	IN, RB, RP, WRB	5	vielmehr
lieben	VB, RB	5	lieben, liebe
machst	WRB, RB	5	machst
erhalten	VB, VBN	5	erhält, erhalten, erhielten
Entschuldigung	NNS, NN	5	Entschuldigungen, Entschuldigung
Schuld	NN	5	Schuld
legen	VB, VBN	5	legen, legt, gelegt
unglücklich	JJ	5	unglückliches, unglücklich
Tugend	NN	5	Tugend
Arm	NNS, NN	5	Arme, Arm
gib	NN	5	gib
nu	UH	5	nu
mache	NN	5	mache
Sachte	PRP$	5	Sachte
Preis	NN	5	Preis
stören	VB, VBN, PRP$	5	stören, gestört
Sage	NN, NNP	5	Sage
deutlich	JJ	5	deutlicher, deutliche, deutlich
Ihrige	NN	5	Ihrige
sag	NN	5	sag
Geduld	NN	5	Geduld
betrachten	VB, VBN	5	betrachten, betrachtet
bekümmern	NN	5	bekümmern
darin	RB	5	darin
eitel	JJ	5	eitel
Zeitlebens	NN	5	Zeitlebens
Willst	WRB	5	Willst
Dummheit	NN	5	Dummheit
Kinder	NN	5	Kinder
Julianens	JJ, NN	5	Julianens
nötig	JJ	5	nötig
essen	VB	5	essen
los	NNP, RP, RB, JJ	5	los
Zeitung	NN	5	Zeitung
höchste	NN	5	höchste
Mühe	NN	5	Mühe
aufs	NN, JJ	5	aufs
rächen	VB	5	rächen
mirs	JJ, NN	5	mirs
werfen	VB, VBN	5	warf, geworfen, werfen, wirft
vollends	NN	5	vollends
zerstreut	NN, RP	5	zerstreut
Reden	NN	5	Reden
selb	DT	5	selber
denkst	NN	5	denkst
Bedienter	NN	5	Bedienter
Stande	NN	5	Stande
Unwissender	NN	5	Unwissender
eignen	VB	5	eignen
Absicht	NN	5	Absicht
zwingen	VBN, VB, PRP$	5	gezwungen, zwingen
habt	NN	5	habt
Freundschaft	NN	5	Freundschaft
Manne	NN	5	Manne
schlimm	JJ, NN	5	schlimme, schlimm, schlimmer, schlimmen
besonders	RB	5	besonders
Herren	NN	5	Herren
nimm	NN	5	nimm
Vetter	NN	5	Vetter
Weiber	NN	5	Weiber
Veränderung	NN	5	Veränderung
ziemlich	JJ	5	ziemlich, ziemliche
dochen	VB, RB	5	doch
Tun	NN	5	Tun
kaum	RP, RB	5	kaum
einerlei	RB, IN	5	einerlei
gedenken	VBN, VB	5	gedacht, gedenken
Menscher	NN	5	Menscher
zufried	JJ	5	zufrieden
jemand	DT, RB	5	jemand
verlor	JJ	5	verloren
Vielleicht	RB, RP, IN	5	Vielleicht
vier	CD	5	vier
sogleich	RB, RP, IN	5	sogleich
Höre	NN	5	Höre
Hoffnung	NN	5	Hoffnung
Wenigstens	NN	5	Wenigstens
schw	JJ	5	schwer
Weibsbild	NN	5	Weibsbild
erkennen	VB, PRP$	5	erkennen
nuren	RB, VB, RP	5	nur
niemand	DT	4	niemand
deutsch	JJ	4	deutsche, deutsch, deutschen
angefangen	NN	4	angefangen
toll	JJ, RB	4	tollen, toll
Uhr	NN	4	Uhr
arme	NN	4	arme
Freude	NN	4	Freude
Frage	NN	4	Frage
falsch	JJ	4	falsch, falsches, falschen
drinne	NN	4	drinne
Vaterland	NN	4	Vaterland
Verzeihen	NN	4	Verzeihen
frei	JJ	4	freie, frei
brauchen	VB, RB	4	braucht, brauchen
Gleichwohl	RB, RP	4	Gleichwohl
mind	JJ	4	minder
Fertigkeit	NN, FW	4	Fertigkeit
entschuldigen	VB	4	entschuldigen, entschuldigt
Possen	NN	4	Possen
Eigenschaft	NN, NNS	4	Eigenschaft, Eigenschaften
Lisettens	NN	4	Lisettens
mehrer	JJ	4	mehrere
Schule	NN	4	Schule
erzählen	VB	4	erzählen, erzählt
Schande	NN	4	Schande
Beweis	NNS, NN	4	Beweise, Beweis
Sagen	NN	4	Sagen
Mannspersonen	NN	4	Mannspersonen
stecken	VB	4	stecken, steckt
Hochzeit	NN	4	Hochzeit
nunmehr	RB	4	nunmehr
Tone	NN	4	Tone
Taler	NN	4	Taler
Person	NN	4	Person
Glauben	NN	4	Glauben
gehorchen	VB	4	gehorchen
hurtig	JJ	4	hurtig
übergeben	VBN, RP, VB	4	übergeben
Advokat	NN	4	Advokat
Händen	NN	4	Händen
hoffen	VB	4	hoffe, hoffen, hoffte
spielen	VB, VBN	4	spielen
Tor	NNS, NN	4	Toren, Tor
et	NN	4	et
Sachen	NN	4	Sachen
Nase	NN, NNS	4	Nase, Nasen
schlagen	VB	4	schlägt, schlagen
Laut	NN, JJ	4	Laut, Lauter
geht	VB	4	geht
Hals	NN	4	Hals
gekannt	NN	4	gekannt
schweigen	VB	4	schweigen
führen	VB	4	führen
Aggressor	NN	4	Aggressor
sowohl	CC	4	sowohl
Mädel	NN	4	Mädel
verzeihen	VB	4	verzeihen
Erlauben	NN	4	Erlauben
andrer	NN	4	andrer
Griechisch	NNP, NN	4	Griechisch, Griechische
Dass	IN	4	Daß
Abend	NN	4	Abend
Sprachen	NN	4	Sprachen
hör	NN	4	hör
entgegen	IN, RP	4	entgegen
Monaden	NN	4	Monaden
Gehet	NN	4	Gehet
erinnern	VB	4	erinnere, erinnern
zanken	NN, VB	4	zanken
sagst	NN	4	sagst
verstehst	NN	4	verstehst
worden	VBN	4	worden
laut	JJ	4	lauter, laut
Besinnen	NN	4	Besinnen
hinaus	IN	4	hinaus
lustig	JJ, NN	4	lustig, lustiger
darum	RB	4	darum
Ganz	NN	4	Ganz
redlich	JJ	4	redlich
herunter	RB, RP	4	herunter
Hast	NN	4	Hast
unterdessen	NN	4	unterdessen
Prozess	NN	4	Prozeß
Sperling	NN	4	Sperling
verschieden	JJ	4	verschiedene
nimmermehr	NN	4	nimmermehr
Komm	NN	4	Komm
versteh	NN, JJ	4	versteh
Mönch	NN, JJ	4	Mönch
steht	VB, NN, JJ	4	steht
Wissenschaften	NN	4	Wissenschaften
gewusst	NN	4	gewußt
Tode	NN	4	Tode
Fehler	NN	4	Fehler
durchaus	RB, IN	4	durchaus
Antworte	NN	4	Antworte
richten	VB	4	richtet, richten
abern	VBN, VB, RB	4	aber
versteckt	JJ	4	versteckt
scheinen	VB	4	schien, scheint, scheinen
redt	NNP, NN	4	redt, redte
Gesicht	NN	4	Gesicht
willen	IN	4	willen
Beschäftigungen	NN	4	Beschäftigungen
Schurke	NN	4	Schurke
lang	JJ	4	lang
Ritter	NN	4	Ritter
Siehst	NN	4	Siehst
Gib	NNP	4	Gib
Weile	NN	4	Weile
Leben	NN	4	Leben
tue	NN	4	tue
Ärgers	NN	4	Ärgers
Kunst	NN	4	Kunst
zornig	JJ	4	zornig
schön	JJ	4	schön
Lobeserhebungen	NN	4	Lobeserhebungen
Pfarr	NN	4	Pfarr
Schulmeister	NN	4	Schulmeister
Schriften	NN	4	Schriften
bekennen	VBN, VB	4	bekannt, bekennen
Horaz	NN	4	Horaz
heisst	RB, JJ, VB	4	heißt
Rede	NN	4	Rede
Studierstube	NN	4	Studierstube
übrig	JJ	4	übrigen, übrig
anzufangen	VB	4	anzufangen
Genug	NN	4	Genug
Mode	NN	4	Mode
zuerst	RB, IN	4	zuerst
Kaufmann	NN	4	Kaufmann
Bestie	NN, NNP	4	Bestie
gefallen	VBN, VB, RP	4	gefallen
Sohnes	NN	4	Sohnes
überlegen	VB, VBN	4	überlegen, überlegt
allezeit	NN	4	allezeit
wäre	RB, VB	4	wäre
Geh	NN	4	Geh
Stadt	NN	4	Stadt
längst	RB, IN	4	längst
entdecken	VB	4	entdecken
Schimpf	NN	4	Schimpf
Gelegenheit	NN	4	Gelegenheit
Gelehrt	VB, JJ	4	Gelehrter
handeln	VB	4	handeln, handelt
zwei	CD	4	zwei
Jugend	NN	4	Jugend
perpende	NN	4	perpende
aufmerksam	JJ	4	aufmerksam
Amt	NN	4	Amt
dringen	VB	4	dringt, dringen
Vertrauen	NN	4	Vertrauen
vortrefflich	JJ	4	vortreffliches, vortreffliche, vortrefflich
kenn	NN, JJ	3	kenn, kenne
Misstrauen	NN	3	Mißtrauen
Zeug	NN	3	Zeug
vorher	RB, RP	3	vorher
gesinnt	NN	3	gesinnt
Devise	NN	3	Devise
Licht	NN	3	Licht
Plaudern	NN	3	Plaudern
Deutschland	NNP	3	Deutschland
voraus	RP, JJ, IN	3	voraus
Schlagen	VBN, NN	3	Schlagt, Schlagen
Gegenstand	NN	3	Gegenstand
tragen	VB, VBN	3	trägt, getragen
Desto	NN	3	Desto
daraufen	VB	3	darauf
weniger	RP, RB	3	weniger
Urteil	NN	3	Urteil
viperino	NNP, NN	3	viperino
Sakrament	NN	3	Sakrament
gefährlich	JJ	3	gefährlich, gefährliche, gefährlichen
Närrin	NN	3	Närrin
nahe	IN, TO	3	nahe
Schein	NN	3	Schein
Gang	NN	3	Gang
Gewalt	NN	3	Gewalt
geschlagen	NN	3	geschlagen
Reisen	NN	3	Reisen
sieh	NN	3	sieh
kurzen	NN	3	kurzen
besen	NN, VB	3	besten
hiess	JJ	3	hieß
gelten	VB	3	gelten, gilt
Genie	NNS	3	Genies
erfüllen	VB	3	erfüllen
non	FW, NN	3	non
Halten	NN	3	Halten
zänkisch	JJ	3	zänkisch
Vorurteil	NNS, NN	3	Vorurteile, Vorurteil
geplaudert	NN	3	geplaudert
nie	RB	3	nie
Ungewissheit	NN	3	Ungewißheit
unten	RB	3	unten
jaten	RP	3	ja
Setzen	NN, VB	3	Setzen, Setzt
nochmals	RB, RP	3	nochmals
naseweis	JJ	3	naseweis
hübsch	JJ, VB	3	hübsch, hübsches
leiden	VB	3	leiden
tugendhaft	RB, NN	3	tugendhaft
verdammte	NN	3	verdammte
berühmte	NN	3	berühmte
Ehemann	NN	3	Ehemann
Eben	NN	3	Eben
rot	JJ	3	roten, rot
vel	FW, NN	3	vel
Tat	NN	3	Tat
Bedenke	NN	3	Bedenke
wiederholen	VB	3	wiederholen
Ehestand	NN	3	Ehestand
Rat	NN	3	Rat
ausculta	NN	3	ausculta
gestern	RB	3	gestern
schwatzen	NN	3	schwatzen
Chrysandern	NN	3	Chrysandern
schwärmst	NN	3	schwärmst
ausgegangen	RP, NN	3	ausgegangen
vorbei	IN	3	vorbei
ei	RP	3	ei
Komplimente	NN	3	Komplimente
Dummkopf	NN	3	Dummkopf
Begriff	NN	3	Begriff
Papier	NN	3	Papier
liebster	NN, JJ	3	liebster
behalten	VBN, VB, RP	3	behalten
Bescheidenheit	NN	3	Bescheidenheit
Gelehrte	NN	3	Gelehrte
kosen	VB	3	kosten, kostet
liebsten	NN	3	liebsten
besonder	JJ	3	besondere
besorgt	JJ	3	besorgt
besorge	NN	3	besorge
Kannst	NN	3	Kannst
Ohrfeige	NN	3	Ohrfeige
unsterblich	JJ	3	unsterblich
verhelfen	VB	3	verhelfen
herum	IN	3	herum
vergebens	IN, RP	3	vergebens
niederträchtiger	NNP	3	niederträchtiger
notwendig	JJ	3	notwendig
meinigen	NN	3	meinigen
erkenntlich	JJ, RB	3	erkenntlich
Geister	NN	3	Geister
verstehn	NN	3	verstehn
Meinung	NN, NNS	3	Meinung, Meinungen
rühmen	NN	3	rühmen
Menschen	NN	3	Menschen
schimpfen	VB, VBN	3	schimpfen, geschimpft
sobald	CC	3	sobald
Wissen	NN	3	Wissen
Darf	NN	3	Darf
schätzen	VB, VBN	3	schätzen, geschätzt
Warte	NN	3	Warte
Verstande	NN	3	Verstande
erfahren	RP, VBN	3	erfahren
Braut	NN, JJ	3	Braut
wohin	RB, WRB	3	wohin
richtig	JJ	3	richtig
erraten	NN	3	erraten
verleumden	VB	3	verleumden
Bekanntschaft	NN	3	Bekanntschaft
ungestört	JJ	3	ungestört
besitzen	VB	3	besitzen
schweig	JJ	3	schweig
Grillen	NN	3	Grillen
verlieren	VB, VBN	3	verlieren, verloren
damien	VB, IN, RB	3	damit
Unglück	NN	3	Unglück
allerliebstes	NN	3	allerliebstes
zugleich	RB	3	zugleich
gebären	VBN, VB	3	geboren
Weibern	NN	3	Weibern
ernsthaft	JJ	3	ernsthafter, ernsthaften, ernsthaft
hassen	VB	3	hieß
Endlich	JJ	3	Endlich
Handel	NN	3	Handel
warte	NN	3	warte
Geplaudre	NN	3	Geplaudre
Dienerin	NN	3	Dienerin
bedenken	VB	3	bedenken
erhitzt	NN	3	erhitzt
Mittel	NN	3	Mittel
klüger	NN	3	klüger
Tischen	VB, JJ	3	Tische
meinig	DT, JJ	3	meinige
frisch	JJ	3	frisch, frischer
küssen	VB	3	küssen
versuchen	VB, VBN	3	versuchte, versuchen, versucht
Fort	NN	3	Fort
Esel	NN, NNP	3	Esel
arm	JJ	3	arm, armes, armen
lee	JJ	3	leer
Umstand	NNS	3	Umstände
Betrieger	NN	3	Betrieger
beweisen	VB	3	beweisen, bewiesen
dreien	NN	3	dreien
verjagen	VBN, RP, VB	3	verjagt
Kenntnis	NN	3	Kenntnis
erwarten	VB, JJ	3	erwarten, erwartet
Kommt	NN	3	Kommt
rechten	NN, VB	3	rechten
allgemein	JJ, RB	3	allgemeinen, allgemein
vorlesen	VB	3	vorlesen
verziehen	VB	3	verziehen
Tagen	NN	3	Tagen
acht	CD	3	acht
weis	NN, JJ	3	weis, weise
meinetwegen	RB	3	meinetwegen
erklären	VB	3	erkläre, erklären
holen	VBN, VB	3	geholt, holen
letzt	JJ	3	letzten, letzte
geschehen	RP, VBN	3	geschehen
Schlange	NN, NNS	3	Schlange, Schlangen
Ruhm	NN	3	Ruhm
gemein	JJ, VB	3	gemein, gemeinen, gemeiner
