Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
dochen	VB, RB, VBN, RP	46	doch
werfen	VB, VBN, RP	45	werfen, wirft, warf, geworfen, werfe, warfen
seh	VB, PRP$, JJ	45	sehen, seh
Sara	NNP, NN	45	Sara
helfen	VB	45	hilft, helfen, half
zeigen	VB, VBN, RB, RP	45	zeigen, zeigt, zeigte, gezeigt
erwarten	VB, JJ, RB, VBN	45	erwarten, erwartet
Tat	NN	44	Tat
drei	CD	44	drei
arm	JJ, NN	44	armen, armer, arm, armes, arme
erklären	VB, VBN, RP	43	erklären, erklärten, erklärt, erkläret, erklärte, erkläre
wem	WP	43	wem
Weg	NN, JJ, NNP	43	Weg
Hören	NN, NNP	43	Hören
antworen	VB	43	antworten
vortrefflich	JJ	43	vortrefflich, vortreffliche, vortreffliches, vortrefflichen
ward	NNP, NN	43	ward
Arm	NN, NNS, JJ	43	Arm, Arme, Armer, Armen
Capitaine	NN, NNP	43	Capitaine
darum	RB	43	darum
schreiben	VBN, VB, RP, RB	42	geschrieben, schreiben, schreibt
Gelegenheit	NN, JJ	42	Gelegenheit
Damon	NN, NNP	42	Damon
Rede	NN, JJ	42	Rede
eins	CD	42	eins
niemand	DT, RB	42	niemand
tot	JJ, RB	42	tot, tote, toten
Henker	NN	42	Henker
Feind	NNS, NN	42	Feinde, Feind
Waitwell	NN	41	Waitwell
fühlen	VB, VBN	41	fühle, fühlte, fühlen, fühlt, fühlest
warten	VB, VBN, RB	41	warten, wartet, wartete
Streich	JJ, NN	41	Streich, Streiche, Streiches
Reden	NN, NNP	41	Reden
recht	VB, NN, RB, JJ	41	recht, rechter, rechten
Galotti	NNP, NN	41	Galotti
verbinden	RP, VBN, VB	41	verbunden, verbinden, verbindet, verbinde, verband
dazuen	VB, RB	41	dazu
Anton	NN, NNP	41	Anton
wahrhaftig	JJ	40	wahrhaftig
hat	RB	40	hat
Ende	NN	40	Ende
ansehen	VBN, VB, PRP$, RP	40	angesehen, ansieht, ansehen
Sultan	NN, JJ	40	Sultan
treffen	VB, RP, VBN	40	treffen, trifft, getroffen
Recha	JJ, NN, NNP	40	Recha
weder	CC, RB	40	weder
Prinze	NNS	40	Prinzen
Werner	NNP, NN	40	Werner
schlecht	JJ	40	schlecht, schlechte, schlechten, schlechter
habt	NN	40	habt
sollst	RP, WRB, RB, IN	40	sollst
versprechen	VBN, VB, RP	40	versprochen, versprechen, verspricht, versprachen
Kinder	NN	40	Kinder
liebste	NN, NNP, JJ	40	liebste
schön	JJ, NN	40	schön, schöne, schönes
Verstand	NN	40	Verstand
ists	NN	40	ists
Minna	NNP, NN	40	Minna
