Title: Damon, oder die wahre Freundschaft
Number of all lemmas: 2727
Nummber of different lemmas: 1253

Lemma	POS	Frequency	Tokens
Testamente	NN	2	Testamente
einzig	VB	2	einzige
abern	VBN, VB	2	aber
Heirat	NNS, NN	2	Heiraten, Heirat
eitle	NN	2	eitle
verlasse	NNP	2	verlasse
scheinbar	JJ	2	scheinbare, scheinbar
Handlung	NN	2	Handlung
redlich	JJ	2	redliche, redlich
denjenig	DT	2	denjenigen
erzählen	VB	2	erzähle, erzählen
Ihrigen	NN	2	Ihrigen
schwören	VB	2	schwören, geschworen
zittere	NN	2	zittere
alleine	NN	2	alleine
stellen	VB, RP	2	stellt, gestellt
besorge	NN	2	besorge
angekommen	NN	2	angekommen
sprechen	VB, VBN	2	spricht, gesprochen
just	JJ	2	just
Wollte	NN	2	Wollte
Mutter	NN	2	Mutter
lese	NN	2	lese
Einfall	NN	2	Einfall
hab	NN	2	hab
gerühret	NN	2	gerühret
Schimpf	NN	2	Schimpf
meinigen	NN	2	meinigen
Drum	NN	2	Drum
Umständen	NN	2	Umständen
läng	JJ	2	länger
anwenden	VB	2	anwenden
erwarten	VB	2	erwarten
Spöttereien	NN	2	Spöttereien
bös	JJ	2	böse
meinig	DT	2	meinige
handeln	VB	2	handeln
Grossmut	NN	2	Großmut
besser	RB	2	besser
Klugheit	NN	2	Klugheit
Eurer	NN	2	Eurer
hieher	NN	2	hieher
redet	VB, JJ	2	redet
besondre	NN	2	besondre
itzt	DT	2	itzt
fragen	VB	2	fragen
habe	RB	2	habe
Mannspersonen	NN	2	Mannspersonen
verunglückt	NN	2	verunglückt
gestünde	NN	2	gestünde
Seines	PRP$	2	Seines
Ostindien	NN	2	Ostindien
empfinden	VB	2	empfinden
Wasser	NN	2	Wasser
ehe	CC	2	ehe
Kapital	NN, NNS	2	Kapital, Kapitale
liesse	NN	2	ließe
besorgen	VB	2	besorgte
schweigen	RB, VB	2	schweigt, schweigen
wär	JJ, NN	2	wäre, wär
Wissen	NN	2	Wissen
edler	NN	2	edler
Haus	NN	2	Haus
Schade	NN	2	Schade
lang	JJ	2	lang
ausschlagen	NN	2	ausschlagen
Ers	NNP	2	Ers
Exempel	NN	2	Exempel
Lust	NN	2	Lust
unser	PRP$	2	unser
trennen	VB	2	trennen
Leichtsinnigkeit	NN	2	Leichtsinnigkeit
werfen	VB	1	werfen
wären	VB	1	wären
verhungern	NN	1	verhungern
Nase	NN	1	Nase
edl	JJ	1	edle
Ehe	NN	1	Ehe
alt	JJ	1	alten
Falschheit	NN	1	Falschheit
Winter	NN	1	Winter
verstehst	NN	1	verstehst
eigennützig	JJ	1	eigennützig
aufhelfen	NN	1	aufhelfen
könnte	VB	1	könnte
Habt	NN	1	Habt
gescheute	JJ	1	gescheute
gescheiter	NN	1	gescheiter
bissgen	NN	1	bißgen
übrigens	RP	1	übrigens
verliebt	JJ	1	verliebt
brächten	NN	1	brächten
spielte	NN	1	spielte
Übereilung	NN	1	Übereilung
philosophisch	JJ	1	philosophisch
Fein	NN	1	Fein
Glauben	NN	1	Glauben
schwerlich	JJ	1	schwerlich
untreu	JJ	1	untreu
schade	NN	1	schade
gemein	JJ	1	gemein
Not	NN	1	Not
Gewinst	NN	1	Gewinst
gestern	IN	1	gestern
verrichten	VB	1	verrichten
Rang	NN	1	Rang
gröblich	JJ	1	gröblich
vernünftigsten	NN	1	vernünftigsten
beliebt	JJ	1	beliebt
gewahr	NN	1	gewahr
Kreaturen	NN	1	Kreaturen
Angelegenheiten	NN	1	Angelegenheiten
weien	VBN	1	weit
verbieten	VBN	1	verboten
täte	NN	1	täte
ungegründet	NN	1	ungegründet
selben	VBN	1	selbst
erhabenen	NN	1	erhabenen
He	NN	1	He
reichlich	JJ	1	reichlicher
mächtiger	NN	1	mächtiger
Frisch	JJ	1	Frisch
Kleinigkeit	NN	1	Kleinigkeit
belebt	JJ	1	belebter
gottesvergessen	NN	1	gottesvergessen
stünde	NN	1	stünde
vereinigen	VB	1	vereinigen
würde	RB	1	würde
Brief	NNS	1	Briefe
gütig	JJ	1	gütig
Gegenwart	NN	1	Gegenwart
rate	NN	1	rate
schuldig	JJ	1	schuldig
süssen	NN	1	süßen
Leb	NN	1	Leb
übermorgen	RB	1	übermorgen
sieht	VB	1	sieht
Grams	NN	1	Grams
wiederholen	VB	1	wiederholen
Unrecht	NN	1	Unrecht
seinig	DT	1	seinige
Muss	NN	1	Muß
warteten	NN	1	warteten
verleumden	VB	1	verleumden
Rückkunft	NN	1	Rückkunft
trotzt	NN	1	trotzt
erdulden	NN	1	erdulden
vollends	NN	1	vollends
hegen	NN	1	hegen
edlere	NN	1	edlere
übereinstimmte	NN	1	übereinstimmte
törichten	NN	1	törichten
Summe	NN	1	Summe
Reichtume	NN	1	Reichtume
Liebeserklärung	NN	1	Liebeserklärung
schänden	VB	1	schänden
liebenswürdigsten	NN	1	liebenswürdigsten
überzeugen	VB	1	überzeugt
Stolze	NN	1	Stolze
Angst	NN	1	Angst
Seeln	VB	1	Seelen
treffen	VB	1	treffen
herbestellet	NN	1	herbestellet
ergeben	VBN	1	ergeben
heeissen	RB	1	heißt
Verdienst	NN	1	Verdienst
liebenswürdige	NN	1	liebenswürdige
Darnach	RB	1	Darnach
unglücklichste	NN	1	unglücklichste
Beschäftigung	NN	1	Beschäftigung
mengest	NN	1	mengest
schadet	VB	1	schadet
Hoffnung	NN	1	Hoffnung
Pfui	NN	1	Pfui
vorplaudern	NN	1	vorplaudern
Mühe	NN	1	Mühe
zuging	FW	1	zuging
Lügen	NN	1	Lügen
Ton	NN	1	Ton
Kräften	NN	1	Kräften
bleibe	NNP	1	bleibe
untereinander	NN	1	untereinander
mache	NN	1	mache
Schimpfe	NN	1	Schimpfe
banquerout	NN	1	banquerout
liebern	VB	1	lieber
hieren	VBN	1	hier
widerlegen	VB	1	widerlegen
bezeigen	VBN	1	bezeigte
Begriffen	NN	1	Begriffen
verfahren	VB	1	verführen
uneinig	JJ	1	uneinig
unsers	PRP$	1	unsers
stünden	NN	1	stünden
worüber	RB	1	worüber
würdigen	VB	1	würdigen
besässe	NN	1	besäße
vorschlagen	VB	1	vorschlagen
liebst	JJ	1	liebster
Verziehen	NN	1	Verziehen
unsere	PRP$	1	unsere
