Title: EntireCorpus-Tokens
Number of all tokens: 82976
Nummber of different tokens: 15342

Token	Frequency
Eigenschaften	11
Scham	11
leihen	11
Gemahlin	11
Possen	11
vernünftig	11
zweiten	11
käme	11
verdammte	11
schien	11
Thalassio	11
unsers	11
blind	11
Advokaten	11
Berlin	11
versichert	11
leer	11
gewahr	11
Schuldigkeit	11
deutlich	11
wohnt	11
Lateiner	11
Zeiten	11
ruft	11
weinen	11
Unglückliche	11
hoch	11
Anfang	11
Buche	11
Pst	11
lebe	11
Dankbarkeit	11
Oheim	11
Lisetten	11
daher	11
rufen	11
schäme	11
Spiele	11
wirft	11
überlegt	11
Flucht	11
Neues	11
irre	11
werd	11
bekümmern	11
Mädel	11
eigne	11
fühlte	11
erinnere	11
hinein	11
herab	11
Schneider	11
fünf	11
blieb	11
Esel	11
schlechte	11
Bart	11
Sinne	11
Fast	11
Sampson	11
Veränderung	11
Geschicklichkeit	11
aufhören	11
Unglücklicher	11
Vorteil	11
Gegenstand	11
billig	11
erlaubt	11
zweimal	11
verlange	11
He	11
fern	11
erscheinen	11
herzlich	11
bleibe	11
erwiesen	11
Palmen	11
Betrachtung	11
Assad	11
Erst	11
dreimal	11
Anblick	11
Straße	11
treiben	11
arg	11
Ohren	11
falschen	11
Hui	11
Hut	11
Sobald	11
Zunge	11
geraten	11
gedenken	11
denk	11
begehen	11
Koffer	11
besinnen	11
verziehen	11
Rechas	11
Aufrichtigkeit	10
kriegt	10
Worten	10
vieles	10
geschlagen	10
ankommen	10
Claudia	10
Versprechen	10
Argwohn	10
Muselmann	10
Preis	10
verkauft	10
Haare	10
Wochen	10
ausgenommen	10
Grobheit	10
lehren	10
Ankunft	10
vors	10
wenigen	10
Geheimnisse	10
Gleichheit	10
Held	10
Unsere	10
Irrtum	10
Dame	10
sowohl	10
Schwur	10
weiblichen	10
Fragen	10
übrigen	10
Lächeln	10
anzufangen	10
Pöbel	10
Tasche	10
Segen	10
hintergehen	10
laufen	10
lüderlichen	10
fragt	10
kostet	10
bereit	10
Vergessen	10
gehorchen	10
Sinnen	10
ansieht	10
schnell	10
teuer	10
wahren	10
Bekanntschaft	10
ungehalten	10
stürzte	10
Pars	10
Blute	10
beliebt	10
Sonne	10
Weibsbild	10
geheim	10
Sünde	10
loben	10
Trotz	10
warm	10
Ansehen	10
versprechen	10
Gestalt	10
Geschenk	10
unendlich	10
gefährlich	10
schenken	10
Mienen	10
Nimmermehr	10
Unschuld	10
angesehen	10
Hund	10
bekömmt	10
Licht	10
Lohn	10
Schrecken	10
jemanden	10
begegnen	10
führt	10
Bloß	10
worauf	10
schätzen	10
Strafe	10
redet	10
schwören	10
bekomme	10
erfuhr	10
wozu	10
verdammten	10
sachte	10
kurze	10
Vaterland	10
essen	10
Tut	10
reißen	10
Homer	10
Hochachtung	10
gezogen	10
Bösewicht	10
womit	10
Bleibt	10
ärgerlich	10
Schritte	10
anstatt	10
Gleichgültigkeit	10
Räuber	10
sicherlich	10
Sies	10
Zärtlichkeit	10
Geschichte	10
übergeben	10
erweisen	10
spotten	10
lacht	10
Angst	10
Spitzbube	10
Luft	10
kamen	10
fehlte	10
unruhig	10
übrige	10
urteilen	10
Achtung	10
gilt	10
dumm	10
ließe	10
Familie	10
gelegt	10
geworfen	10
Belohnung	10
besinne	10
stößt	10
Betrug	10
fremde	10
Schwierigkeit	10
Rolle	10
Verwirrung	10
wüßten	10
Mangel	9
reichen	9
Tempelherrn	9
falsch	9
vielen	9
dumme	9
Königin	9
elenden	9
Sieht	9
gnädigen	9
bloße	9
Euerm	9
gilts	9
bitt	9
Laster	9
sichs	9
glücklichen	9
Abend	9
Kannst	9
Eltern	9
Seelen	9
Alten	9
gleichsam	9
Einbildungen	9
Mach	9
erraten	9
Besuch	9
Minister	9
unschuldigen	9
Poeten	9
gesehn	9
gestanden	9
wiederkommen	9
tritt	9
wünsche	9
willkommen	9
leichter	9
erstaunen	9
Sag	9
glaubst	9
Bella	9
Untreue	9
voller	9
bewundern	9
verkennen	9
Charakter	9
angefangen	9
unglücklichen	9
Reichtum	9
Garten	9
Grab	9
Tempelherren	9
Weisen	9
stören	9
Vorwurf	9
still	9
eh	9
Dosalo	9
Befehl	9
gebt	9
erkenntlich	9
ruhiger	9
Gelde	9
Reise	9
Bitten	9
widersprechen	9
nämliche	9
Nie	9
vergnügt	9
Wirte	9
bewegen	9
Aufenthalt	9
hättet	9
rege	9
plaudern	9
Schelm	9
Persien	9
Sturm	9
Geschmack	9
Schlimmste	9
Platz	9
Kindheit	9
Zeug	9
zuwider	9
Lüge	9
Absichten	9
Mantel	9
Anschlag	9
fromme	9
enthalten	9
Aufsicht	9
zeigt	9
wolltest	9
Vorsprecher	9
Schmerz	9
blieben	9
sahen	9
trägt	9
Atheist	9
entweder	9
Zwang	9
teilen	9
erschaffen	9
tausendmal	9
rühmen	9
begangen	9
Guten	9
Weibern	9
Haar	9
empfinde	9
Gehorsam	9
eigenen	9
Gefallen	9
Anmerkung	9
gerettet	9
Vorsatz	9
klar	9
rechtschaffnen	9
Zuflucht	9
Überlegen	9
schlimmer	9
Entfernung	9
Empfindungen	9
Rätsel	9
Todes	9
neun	9
Habt	9
Abscheu	9
Wendung	9
Verdienst	9
stoßen	9
woher	9
Wahl	9
Epithalamium	9
Einwilligung	9
Larve	9
Schlinge	9
fängt	9
Gebieterin	9
herunter	9
rasend	9
Mut	9
arm	9
bange	9
Alte	9
erwartet	9
schwöre	9
Ruhm	9
läuft	9
hinderlich	9
aufrichtig	9
Jud	9
oben	9
Potz	9
träumen	8
vierzig	8
Wille	8
blinden	8
herkommen	8
bittet	8
vielem	8
wärest	8
sagten	8
welch	8
hübsch	8
leider	8
gehöret	8
einziges	8
Kräfte	8
betrügen	8
aufsuchen	8
Darum	8
Schwäche	8
Gehet	8
Entzückung	8
Wär	8
Bezahlung	8
Weit	8
schlechter	8
Leanders	8
zerstreut	8
überreden	8
begierig	8
Tische	8
irgend	8
Titel	8
Denkt	8
Treue	8
gewisses	8
verändert	8
vermute	8
Treppe	8
un	8
anhören	8
prahlen	8
wünscht	8
Korb	8
Verzeih	8
möcht	8
Mannsperson	8
Vortrefflich	8
ewige	8
Übel	8
Ewigkeit	8
stehet	8
ganzer	8
Heller	8
trauen	8
ce	8
