Title: Nathan der Weise
Number of all lemmas: 10391
Nummber of different lemmas: 3174

Lemma	POS	Frequency	Tokens
König	NN, NE	6	Könige, König
unsre	PPOSAT	6	unsern, unsre
krank	ADJD	6	krank
sogleich	ADV	6	sogleich, Sogleich
erinnern	VVPP, VVINF, VVFIN	6	erinnert, erinnern, erinnerst, Erinnert
gibts	NN	6	gibts
minder	ADJD	6	minder
wohin	PWAV	6	wohin, Wohin
Kleinigkeit	NN	6	Kleinigkeit, Kleinigkeiten
aufs	APPRART	6	aufs
Geckerei	NN	6	Geckerei
gnug	ADJD, NN	6	gnug
mirs	ADJD	6	mirs
irren	VVIMP, VVFIN, VVINF	6	irr, irre, irrst, irrte, irren
vorbei	ADV, PTKVZ	6	vorbei, Vorbei
erlauben	VVPP, VVFIN, VVINF	6	Erlaubt, Erlaubst, erlauben, erlaubt
bekommen	VVINF, VVFIN	6	bekommen, bekam
weder	KON	6	weder
verlassen	VVIMP, VVPP, VVFIN	6	verlaß, verlassen, Verlassen, verläßt, verließ
Jerusalem	NE	6	Jerusalem
erwarten	VVINF, VVPP	6	erwarten, erwartet
Not	NN	6	Not
gestehen	VVFIN, VVINF	6	Gesteht, gestehen, gesteht, gestand
Gut	NN	6	Gut, Gütern
ach	ITJ	6	Ach
heiß	ADJA, ADJD	6	heißen, heiße, heiß
wandeln	VVINF, VVFIN	6	wandeln, wandelt, wandle
Rede	NN	6	Rede
Judenmädchen	NN	6	Judenmädchen
etwa	ADV	6	etwa
stets	ADV	6	stets
Träne|Tränen	NN	6	Tränen
selten	ADV, ADJD	6	selten
Brautkleid	NN	6	Brautkleid
schwärmen	VVFIN, VVPP	5	schwärmt, geschwärmt, schwärmen
drauf	PAV	5	drauf
dienen	VVINF, VVPP	5	dienen, gedient
Kindheit	NN	5	Kindheit
Wasser	NN	5	Wasser
Recht|Rechte	NN	5	Rechte, Rechten
Posse	NN	5	Possen, Posse
versprechen	VVIMP, VVINF, VVFIN	5	versprich, versprechen, Versprach, verspricht, verspreche
Wille	NN	5	Wille, Willen
klingen	VVFIN	5	klänge, klingt, klang
Arm|Arme	NN	5	Armen, Arme
legen	VVINF, VVIMP, VVPP	5	legen, leg, gelegt
Eindruck	NN	5	Eindruck
Conrad	NE	5	Conrad
Spott	NN	5	Spott
Gewesen	NN	5	Gewesen
Kasse	NN	5	Kasse
Zweifel	NN	5	Zweifel
manche	PIAT	5	manche, manchem, manches, manch
bereit	ADJD	5	bereit, Bereit
Argwohn	NN	5	Argwohn
verdienen	VVINF, VVIMP, VVFIN	5	verdienen, verdien, verdiente
nu	ITJ	5	nu, Nu
gehorchen	VVINF, VVFIN	5	gehorchen, Gehorcht, gehorche
fassen	VVFIN, VVPP, VVINF	5	faßt, gefaßt, fassen
töten	VVFIN, VVPP, VVINF	5	Töte, tötet, getötet, töten
böse	ADJA	5	böser, böse, bösen
Buch	NN	5	Buch, Büchern, Bücher
erweisen	VVPP, VVINF, VVFIN	5	erwiesen, erweisen, Erwiesen
Euers	NN	5	Euers
Beutel	NN	5	Beutel
zweit	ADJA	5	zweiten, zweiter, zweite
doppelt	ADJD, ADJA	5	doppelt, doppeltes
merken	VVINF, VVFIN	5	merken, merkt, merke
Ägypten	NE	5	Ägypten
dergleichen	PIS	5	dergleichen
Christenheit	NN	5	Christenheit
rechnen	VVPP, VVFIN, VVINF	5	gerechnet, rechnet, rechnen
Briefchen	NN	5	Briefchen, Briefchens
alt	ADJA, ADJD	5	alter, alt, alte
besitzen	VVFIN	5	besitzt, besitze, besaß, Besitzt, besitzen
Aug	NE	5	Aug
Schatz	NN	5	Schatzes, Schatz, Schätze
nämliche	ADJD	5	nämliche
überall	ADV	5	überall
zusammen	PTKVZ, ADV	5	zusammen, Zusammen
vernehmen	VVPP, VVINF	5	vernommen, vernehmen
brechen	VVFIN, VVPP	5	Brach, bricht, gebrochen, brach
Bote	NN	5	Bote, Boten
beschwören	VVFIN, VVINF	5	beschwor, beschwören, beschworen
weinen	VVINF, VVPP, VVFIN	5	weinen, geweint, Geweint, weinst
besondern	VVFIN	5	besondern, besondre
Zug	NN	5	Zug
wiederkommen	VVFIN, VVINF	5	wiederkommt, wiederkommen, wiederkomme
möcht	VVFIN	5	möcht
horchen	VVIMP, VVINF, VVFIN	5	horch, horchen, horcht
bilden	VVPP, VVFIN, VVINF	5	gebildet, Bildet, bilden, bildete
Zins	NN	5	Zinsen, Zins
Richard	NE	5	Richards, Richard
Ernst	NN, NE	5	Ernst
ziemen	VVFIN	5	Ziemte, ziemt
Entschluss	NN	5	Entschlüsse, Entschluß
Geist	NN	5	Geist
längst	ADV	5	längst
weg	ADV, PTKVZ	5	Weg, weg
süß	ADJA, ADJD	5	süßen, süß, süße, süßes
Kraft	NN	5	Kraft, Kräfte
womit	PWAV	5	womit, Womit
vermutlich	ADV	5	Vermutlich, vermutlich
Ohr	NN	5	Ohr
fahren	VVFIN, VVINF, VVIMP	5	fuhr, fahren, Fahret, fahr
Sünde	NN	5	Sünde, Sünden
würd	VVFIN, ADJD	5	würd
nieder	PTKVZ, ADJD	4	nieder
vertraut	ADJD, ADJA	4	vertraut, vertrautes, vertraute
ungefähr	ADJD	4	ungefähr
Vorteil	NN	4	Vorteil, Vorteile
Blume	NN	4	Blumen, Blume
wovon	PWAV	4	wovon, Wovon
hierher	PAV, ADV	4	hierher, Hierher
erziehen	VVPP	4	erzogen
Fürst	NN	4	Fürsten, Fürst
vorgehen	VVFIN	4	vorgeht
leihen	VVINF, VVFIN	4	leihen, leiht
Gern	NE	4	Gern
Einfalt	NN	4	Einfalt
lächeln	VVFIN, VVINF	4	Lächelt, lächelt, lächeln
gefangen	PTKVZ	4	gefangen
Prinzessin	NN	4	Prinzessin
stehlen	VVFIN, VVINF, VVPP	4	stiehlt, stehlen, gestohlen
Geschlecht	NN	4	Geschlechts, Geschlechte
Springer	NN	4	Springer
brennen	VVFIN, VVINF	4	brannte, brennen, brennt, brenne
Stolz	NN	4	Stolz, Stolzes
Beifall	NN	4	Beifall
Versprechen	NN	4	Versprechen
He	NE	4	He
fern	ADJD	4	ferner, fern
leiden	VVFIN	4	litt, leidet, litte
Fenster	NN	4	Fenster
ergründen	VVINF, VVFIN, VVPP	4	ergründen, ergründet
Gekommen	NN	4	Gekommen
Pferd	NN	4	Pferd, Pferde
Absicht	NN	4	Absicht
schleppen	VVFIN, VVINF	4	schleppt, schleppen, schleppte
annehmen	VVPP, VVIZU	4	angenommen, anzunehmen
Unruh	NN	4	Unruh
meiste	PIS	4	meisten
Geck	NN	4	Geck, Gecken
Kamel	NN	4	Kamele, Kamelen
dachen	VVFIN	4	Dacht, dacht
Stand	NN	4	Standes, Stande, Stand
gilts	NN	4	gilts
wirken	VVFIN, VVPP	4	Wirkt, wirken, wirkt, gewirkt
ähnlich	ADJD	4	ähnlich
sonderbar	ADJD, ADJA	4	sonderbar, sonderbaren
ohnedem	VVFIN, ADJD	4	ohnedem
lernen	VVINF, VVPP, VVFIN	4	lernen, gelernt, lernte, lernt
schwer	ADJD, PTKVZ	4	schwer, schwerer
Wert	NN	4	Wert
Pfand	NN	4	Pfand
kämpfen	VVFIN, VVINF	4	kämpft, kämpfen
wärs	NN, ADJD, VVFIN	4	wärs
siegen	VVINF, VVFIN	4	siegen, siegt
begegnen	VVFIN, VVINF, VVPP	4	begegnet, begegnen
Hats	NN	4	Hats
entgegen	PTKVZ, APPO	4	entgegen
nötig	ADJD	4	nötig
fein	ADJD, ADJA	4	fein, feine
Meinung	NN	4	Meinung
ohn	VVFIN	4	ohn
gleichwohl	ADV	4	gleichwohl, Gleichwohl
Traum	NN	4	Traums, Traume, Träume
Hirn	NN	4	Hirn, Hirns
Reich|Reiche|Reichen	NN	4	Reichen
rächen	VVINF, VVFIN	4	rächen, rächt
Gewissen	NN	4	Gewissen
Libanon	NE	4	Libanon
heiter	ADJA, ADJD	4	heitre, heitern, heiter
nimmermehr	ADV	4	Nimmermehr, nimmermehr
