Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
Wenig	RP, WRB, DT	4	Wenig, Wenige
Teiche	NN	4	Teiche
Rips	NN, NNP	4	Rips
solch	DT	4	solchen, solche
laufen	VB	4	läuft, lief
Jahre	NN	4	Jahre
ihren	PRP$	4	ihren
fort	RP	4	fort
Sehen	NN	4	Sehen
Soen	VBN, RB	4	So
halb	JJ, CD	4	halben, halb, halbe
Prozent	NN	4	Prozent
Lohn	NN	4	Lohn
unterdessen	NN	4	unterdessen
Name	NN	4	Name
Noch	RB	4	Noch
kurz	JJ	4	kurze, kurz, kurzem
führen	VB	4	führte, führen, führe
ansehen	VB	4	ansieht, ansehen
merken	VB, VBN	4	merken, gemerkt, merke
Hätte	NN	4	Hätte
herum	IN	4	herum
möglich	JJ	4	mögliche, möglich
Dass	IN	4	Daß
Trinkgeld	NN	4	Trinkgeld
tausendmal	RB, RP	4	tausendmal
welches	WDT	4	welches
welcher	WP	4	welcher
am	IN	4	am
Teufel	NN	4	Teufel
Gewissen	NN	4	Gewissen
mirs	NN	4	mirs
Recht	NN	4	Recht
Warum	NN	4	Warum
Rat	NN	4	Rat
lässen	VB, VBN	4	läßt
Vorwerke	NN	4	Vorwerke
Für	IN	4	Für
Tage	NN	4	Tage
bin	VB	4	bin
darauf	RB	4	darauf
könnte	VB	4	könnte
Jugend	NN	4	Jugend
Kamillen	NN	4	Kamillen
darinn	JJ	4	darinne
dochen	RB, VB	4	doch
seiner	PRP$	4	seiner
zurück	RP, RB, IN	4	zurück
jemand	DT, RB	4	jemand
neugierig	JJ	4	neugierig, neugierigen
niemanden	NN, RB	4	niemanden
Gallipoli	NNP	4	Gallipoli
Herzensfreund	NN	4	Herzensfreund
Denn	RB, WRB	4	Denn
ziehen	VB, RP	4	zog, ziehen, gezogen
wünschen	VB	4	wünschen
ha	NN	4	ha
Indemen	RB, VB	3	Indem
jemals	RB	3	jemals
Gasse	NN	3	Gasse
Zeug	NN	3	Zeug
vom	IN	3	vom
willst	WRB, RP, RB	3	willst
hundert	CD	3	hundert
Jetzt	NN	3	Jetzt
Augenblick	NN	3	Augenblick
wahrscheinlich	JJ	3	wahrscheinlich
frei	JJ	3	freiem, frei
daraufen	VB	3	darauf
weniger	RB, RP	3	weniger
gehabt	NN	3	gehabt
Strasse	NN	3	Straße
ihrem	PRP$	3	ihrem
Ganz	NN, JJ	3	Ganz
dürfen	VB	3	dürfte, darf
vieles	NN	3	vieles
Sollen	MD	3	Soll
ansehnlich	JJ	3	ansehnliche, ansehnlich
Lelane	NN	3	Lelane
Bin	NN	3	Bin
wirst	WRB	3	wirst
daher	RB	3	daher
anfangen	VB, VBN	3	anfangen, anfängt
schämen	PRP$, VB	3	schämen
rufen	VB, PRP$	3	rufen, rief
gerne	RB, RP	3	gerne
unglücklicher	NN	3	unglücklicher
Aufsicht	NN	3	Aufsicht
Erlaubnis	NN	3	Erlaubnis
wüsste	NN	3	wüßte
nie	RB	3	nie
legen	VB	3	legen
sollt	NN	3	sollt
jetzo	NN	3	jetzo
dächte	NN	3	dächte
Beweis	NN, NNS	3	Beweis, Beweise
Tugend	NN	3	Tugend
