WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
bedürfnis	0,382352941	3,476190476
beenden	-0,558823529	2,666666667
befallen	-1,4	3,333333333
befangen	-1,2	2,631578947
befehl	-2	3,75
befinden	0,323529412	2,277777778
befreien	1,941176471	3,222222222
befreier	1,3	2,833333333
befreiung	2,205882353	3,380952381
befugnis	0,7	2,761904762
befund	-0,15	2,9
befürchten	-1,411764706	3,095238095
begabung	2,2	2,625
begegnen	1,382352941	3,142857143
begegnung	1,558823529	2,785714286
begeistern	2,147058824	3,5
begierde	0,2	3,722222222
beginn	1,3	2,789473684
begleiten	1,235294118	2,761904762
begnadet	1,7	2,411764706
begraben	-2,1	3,555555556
begreifen	1,088235294	2,904761905
begründen	0,382352941	2,523809524
begrüßen	1,5	2,380952381
behandeln	0,382352941	2,421052632
behandlung	-0,441176471	2,833333333
behaupten	-0,323529412	2,380952381
behörde	-1,529411765	3,055555556
behutsam	1,2	1,684210526
beichte	-0,2	2,823529412
beifall	1,7	2,941176471
beihilfe	0,5	3,19047619
beil	-1,64	3,59
beileid	-2	3,1875
beispiel	0,303030303	1,944444444
beitragen	1,088235294	2,333333333
bejubeln	2,2	3
bekennen	0,382352941	2,761904762
bekommen	1,029411765	2,105263158
belastung	-1,647058824	3,592592593
beleg	-0,3	1,944444444
belegen	-0,058823529	2,285714286
beliebt	2,4	2,888888889
belohnen	1,9	2,5
beneiden	-1,2	3,263157895
bengel	-0,15	3,263157895
benötigen	-0,294117647	2,315789474
benzin	-0,8	2,857142857
bequem	1,7	1,944444444
beraten	0,823529412	2,421052632
beratung	0,8	2,421052632
berauben	-2,2	3,722222222
bereich	0,029411765	1,777777778
bereiten	0,558823529	1,947368421
bereuen	-0,6	2,789473684
bericht	-0,029411765	2,277777778
berichten	0,558823529	2,047619048
beruf	0,6	2,684210526
berühren	1,794117647	2,892857143
beseitigen	-0,882352941	2,526315789
besen	-0,25	2,05
besetzen	-0,617647059	2,666666667
besorgt	-1,3	3,157894737
bestätigen	0,970588235	2,210526316
besteck	0,59	2
bestehen	1	2,789473684
bestellen	0,647058824	1,894736842
bestie	-2,1	4,529411765
bestimmen	-0,470588235	2,473684211
bestimmung	0,147058824	3
bestreiten	-0,970588235	2,684210526
besuch	1	2,722222222
besuchen	1,441176471	2,761904762
besucher	1	2
beteiligen	0,588235294	2,421052632
betonen	0,588235294	2,333333333
betrachten	0,676470588	2,142857143
betrag	-0,15	2,35
betragen	-0,382352941	1,894736842
betreffen	-0,151515152	2,421052632
betrieb	-0,235294118	2,111111111
betrug	-2,05	3,8
bett	2	2,166666667
betteln	-1,5	3,111111111
beule	-1,4	3,2
beutel	0,6	1,421052632
bewahren	0,882352941	2,421052632
bewähren	0,470588235	2,333333333
bewegen	1,352941176	2,631578947
bewegung	1,617647059	3,294117647
beweis	0,6	2,368421053
beweisen	0,205882353	2,761904762
bewerber	0	2,647058824
bezahlen	-0,529411765	2,535714286
bezeichnen	0,323529412	2
beziehung	1,617647059	3,666666667
bibel	0,5	2,904761905
biber	1	1,894736842
biene	1,15	2,388888889
bier	0,7	2,894736842
biest	-1,6	4,1
bieten	0,176470588	2,157894737
bikini	1,73	3,36
bilanz	-0,705882353	2,433333333
bild	1,058823529	1,882352941
bilden	1,323529412	2,842105263
bildung	1,882352941	2,555555556
billigen	-0,4	2,222222222
binden	0,382352941	2,684210526
birke	1,2	1,421052632
birne	1	1,722222222
bischof	-0,823529412	2,052631579
bitte	0,65	2,857142857
bitten	0,382352941	2,619047619
bitter	-1,3	2,526315789
blamage	-1,8	3,888888889
blase	-0,7	2,210526316
blei	-0,617647059	1,894736842
bleiben	0,823529412	1,789473684
blick	1,264705882	2,277777778
blitz	0,5	3,904761905
blondine	0,6	2,631578947
blume	2,15	1,6875
bluse	0,68	2,41
blut	-0,882352941	3,666666667
blüte	2,32	1,91
blutig	-1,8	4,35
bluttat	-2,8	4,277777778
boden	0,05	1,555555556
bodenlos	-1,6	3,555555556
bogen	0,8	1,947368421
bohne	0,65	1,578947368
bohrer	-0,15	3,15
bombe	-2,5	4
bomber	-2,25	4,25
bonbon	1,7	2,125
boot	1,05	2,82
börse	-0,647058824	2,052631579
borste	-0,35	2,75
boshaft	-1,9	3,944444444
botschaft	0,735294118	3,285714286
brauchen	-0,235294118	2,789473684
brause	0,8	2,368421053
braut	1	2,833333333
brechen	-1,323529412	3,142857143
brennen	-1,529411765	3,464285714
brezel	1,64	2,23
brief	1,5	2,222222222
brigade	-1,264705882	2,666666667
brillant	2,2	3,166666667
brille	-0,65	2,210526316
