Title,Author,Date,Type,Conf.Density,Number of Replicas,Avg. Length of Replicas,Max. Length of Replicas,Min. Length of Replicas,Med. Length of Replicas
Die Familie Schroffenstein,Kleist Heinrich von,{'when': '1802'},Trauerspiel,0.20512820512820512,1252,14.8370607028754,228,1,8.0
Der auf den Parnass versetzte grüne Hut,Klemm Christian Gottlob,{'when': '1767'},Komoedie,0.20925925925925926,616,18.808441558441558,308,1,10.5
Die neue Arria,Klinger Friedrich Maximilian,{'notAfter': '1831' 'notBefore': '1752'},Trauerspiel,0.15931372549019607,810,27.020987654320987,254,1,12.0
Julius von Tarent,Leisewitz Johann Anton,{'notAfter': '1806' 'notBefore': '1752'},Trauerspiel,0.11574074074074074,481,28.694386694386694,257,1,16
Sturm und Drang,Klinger Friedrich Maximilian,{'notAfter': '1831' 'notBefore': '1752'},Schauspiel,0.18018018018018017,782,20.202046035805626,193,1,10.0
Das leidende Weib,Klinger Friedrich Maximilian,{'notAfter': '1831' 'notBefore': '1752'},Trauerspiel,0.09652076318742986,712,20.13623595505618,219,1,10.0
Die Zwillinge,Klinger Friedrich Maximilian,{'notAfter': '1831' 'notBefore': '1752'},Trauerspiel,0.32142857142857145,637,25.690737833594977,336,1,14
Der Tod Adams,Klopstock Friedrich Gottlieb,{'when': '1753'},Trauerspiel,0.16785714285714284,185,31.054054054054053,366,1,16
Zriny,Körner Theodor,{'when': '1812'},Trauerspiel,0.12148148148148148,526,33.26425855513308,351,1,17.0
Die Indianer in England,Kotzebue August von,{'when': '1788'},Komoedie,0.12624584717607973,1152,16.999131944444443,283,1,10.0
