Title: Die Juden
Number of all lemmas: 9755
Nummber of different lemmas: 1526

Lemma	POS	Frequency	Tokens
her	PTKVZ	5	her
ab	PTKVZ	5	ab
Ehre	NN	5	Ehre
begleiten	VVINF, VVPP	5	begleiten, begleitet
Mühe	NN	5	Mühe
Recht	NN	5	Recht, Rechts
dein	PPOSAT	5	deiner, deine
Dienst	NN	5	Dienste, Diensten
leicht	ADJD	5	leicht, leichter
lügen	VVINF, VVFIN, VVPP	5	lügen, log, gelogen, lögen
wenigstens	ADV	5	wenigstens
liegen	VVFIN, VVPP	5	liegt, gelegen
reißen	VVPP, VVINF, VVFIN	5	gerissen, reißen, riß
Spaß	NN	5	Spaß
vorhin	ADV	5	Vorhin, vorhin
Ernst	NE	5	Ernst
etwa	ADV	5	etwa
zeigen	VVINF, VVFIN, VVPP	5	zeigen, zeigt, gezeigt, Zeigt
genug	ADV	5	genug, Genug
welche	PRELS, PIS, PWAT, PWS	5	welchen, welche, Welches, welcher, welches
Auge	NN	5	Augen, Auge
Vermutung	NN	5	Vermutung, Vermutungen
freilich	ADV	5	freilich
jung	ADJA, ADJD	5	junge, jung, junger, jungen
kaum	ADV	4	kaum
übel	ADJD	4	übel
Rede|Reden	NN	4	Reden
Gedanke	NN	4	Gedanken
verraten	VVPP, VVFIN	4	verraten, verratet, verrate, verrieten
Garten	NN	4	Garten
Tochter	NN	4	Tochter
sprechen	VVFIN, VVINF	4	Sprechen, sprechen
lieben	VVFIN	4	liebe
Krumm	NN, NE	4	Krumm
leiden	VVINF	4	leiden
selber	ADV	4	selber
Flucht	NN	4	Flucht
Vergeltung	NN	4	Vergeltung
Dieb	NN	4	Diebe, Dieb
Tobaksdose	NN	4	Tobaksdose
Martin	NE	4	Martin
Unglück	NN	4	Unglücke, Unglück
antworten	VVINF	4	antworten
solche	PIAT	4	solche, solchen, solch
merken	VVINF, VVFIN, VVPP	4	merken, merke, gemerkt, Merken
je	ADV, APPR, KOUS	4	Je, je
Sache	NN	4	Sache, Sachen
dergleichen	PIS	4	dergleichen
Abreise	NN	4	Abreise
sauer	ADJD	4	saurer, sauer
Spitzbube	NN	4	Spitzbube, Spitzbuben
verstehs	VVFIN, NN	4	verstehs
nötig	ADJD	4	nötig
fein	ADJD, ADJA	4	fein, feinen
hochöchst	ADJD	4	höchst
gleichwohl	ADV, KOUS	4	gleichwohl, Gleichwohl
dienen	VVINF	4	dienen
Kleinigkeit	NN	4	Kleinigkeit
sondern	KON	4	sondern
Schuldigkeit	NN	4	Schuldigkeit
werfen	VVFIN, VVPP	4	wirft, werfe, geworfen
Henker	NN	4	Henker
nimmermehr	ADV	4	nimmermehr, Nimmermehr
Ei	NN	4	Ei
bekommen	VVINF, VVPP	4	bekommen
sehnen	VVIMP	4	sehn
unverschämt	ADJD, ADJA	4	unverschämt, unverschämtes, Unverschämter
Ursache	NN	4	Ursachen, Ursache
küssen	VVFIN, VVIMP, VVINF	4	küßt, küß, küssen
Großmut	NN	4	Großmut
Jungfer	NN	4	Jungfer
unschuldig	ADJD	4	unschuldig
heute	ADV	4	heute
Ding	NN	4	Dinger, Ding, Dingen, Dinge
verlassen	VVFIN, VVINF, VVPP	4	verließen, verlassen
scheinen	VVFIN	4	scheinen, scheint
darauf	PAV	4	darauf
Frauenzimmers	NN	4	Frauenzimmers
Himmel	NN	4	Himmel
Leben	NN	4	Leben, Lebens
liebenswürdig	ADJA, ADJD	4	liebenswürdigen, liebenswürdig, liebenswürdigste
verlangen	VVINF, VVFIN	4	verlangen, verlange
Gefahr	NN	4	Gefahr
verbinden	VVFIN, VVINF	4	verband, verbinden, Verbinde
allezeit	ADV	4	allezeit
greifen	VVINF, VVFIN, VVPP	4	greifen, griff, gegriffen
zwei	CARD	4	zwei, Zwei
daran	PAV	4	daran
übrig	ADJA	4	übrigen, übrige
anfallen	VVPP, VVFIN	3	angefallen, anfiele
vergessen	VVFIN, VVIMP	3	vergißt, Vergiß, Vergessen
verfolgen	VVINF, VVPP	3	verfolgen, verfolgt
Dankbarkeit	NN	3	Dankbarkeit
Gefälligkeit	NN	3	Gefälligkeit, Gefälligkeiten
laß	ADJD, ADJA	3	laß, lassen
kehren	VVINF, VVFIN	3	kehren
Augenblick	NN	3	Augenblick
Stunde	NN	3	Stunde
wollens	VVFIN, ADJD	3	wollens
tragen	VVPP, VVFIN	3	getragen, trägt, trugen
falsch	ADJA, ADJD	3	falschen, falsch
Dero	NE, ADJA	3	Dero
Wort	NN	3	Wörter, Wort
darnach	ADV	3	darnach
endlich	ADV	3	endlich
angenehm	ADJA, ADJD	3	angenehmen, angenehme, angenehmer
Räuber	NN	3	Räuber
anfangen	VVINF, VVPP	3	anfangen, angefangen
erhalten	VVINF, VVFIN, VVPP	3	erhalten, erhält
diese	PDS	3	diese, Diese, dieser
belieben	VVFIN	3	belieben, Belieben, beliebten
stehlen	VVINF, VVPP	3	stehlen, gestohlen
desto	KON	3	desto, Desto
Zweifel	NN	3	Zweifel
Fasson	NN	3	Fasson
niemals	ADV	3	niemals
Punkt	NN	3	Punkt, Punkte
schweigen	VVFIN, VVINF	3	Schweigt, schweigen
beschwerlich	ADJD	3	beschwerlich
Bitte	NN	3	Bitte
Pferd	NN	3	Pferde
behaupten	VVINF	3	behaupten
Unrecht	NN	3	Unrecht
Verdrüßlichkeiten	NN	3	Verdrüßlichkeiten
grob	ADJD	3	grob
Wohltäter	NN	3	Wohltäters, Wohltäter
